Course Code,Course Code Change,Title,Title Change,NEW,REV,DEL,Unit,Unit Change,Transferability,Transferability Status,Comments,Effective Date,Published COR
DANCETQ151,,Dance For Film And Stage I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ152,,Dance For Film And Stage II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ171,,Hip-Hop Dance Techniques I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ172,,Hip Hop Techniques II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ173,,Hip Hop Techniques III,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ231,,Conditioning For Dance I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Transfer Status, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ232,,Conditioning For Dance II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Transfer Status, CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ321,,Social Dance I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ322,,Social Dance II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ462,,Modern Dance,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Transfer Status, CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DNCESPC441,,Latin Social And Salsa Dance I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DNCESPC442,,Latin Social And Salsa Dance II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DNCESPC443,,Latin Social And Salsa Dance III,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DNCESPC444,,Latin Social And Salsa Dance IV,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DRAFT016,,Blueprint Reading I,,,X,,2.0,,Transferable to CSU only,Approved,,2026 Winter,
DRAFT017,,Blueprint Reading II,,,X,,2.0,,Transferable to CSU only,Approved,,2026 Winter,
E.S.L.003A,,College ESL III: Writing and Grammar,,,X,,6.0,,,,Transcript Abbreviation,2024 Fall,
E.S.L.003B,,College ESL III: Reading and Vocabulary,,,X,,3.0,,,,"Transcript Abbreviation, CSLOs, Indicate DE Approval in Affiliated Programs",2024 Fall,
E.S.L.003B,,College ESL III: Reading and Vocabulary,,,X,,3.0,,,,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, CSLOs, Indicate DE Approval in Affiliated Programs",2025 Summer,
E.S.L.003C,,College ESL III: Listening and Speaking,,,X,,3.0,,,,"Transcript Abbreviation, CSLOs",2024 Fall,
E.S.L.003C,,College ESL III: Listening and Speaking,,,X,,3.0,,,,"College Catalog Course Description, CSLOs, Course Objectives",2025 Summer,
E.S.L.004A,,College ESL IV: Writing And Grammar,College ESL IV: Writing and Grammar,,X,,6.0,,,,"Transcript Abbreviation, Course Title, CSLOs",2024 Fall,
E.S.L.004B,,College ESL IV: Reading And Vocabulary,,,X,,3.0,,,,,2024 Fall,
E.S.L.004B,,College ESL IV: Reading And Vocabulary,,,X,,3.0,,,,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs",2025 Summer,
E.S.L.004C,,College ESL IV: Listening and Speaking,,,X,,3.0,,,,"Transcript Abbreviation, Indicate DE Approval in Affiliated Programs",2024 Fall,
E.S.L.004C,,College ESL IV: Listening and Speaking,,,X,,3.0,,,,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives, Indicate DE Approval in Affiliated Programs",2025 Summer,
E.S.L.005A,,College ESL V: Writing And Grammar,,,X,,6.0,,Transferable to CSU only,Approved,,2024 Fall,
E.S.L.005A,,College ESL V: Writing And Grammar,,,X,,6.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives",2025 Summer,
E.S.L.005B,,College ESL V: Reading And Vocabulary,,,X,,3.0,,Transferable to CSU only,,,2024 Fall,
E.S.L.005B,,College ESL V: Reading And Vocabulary,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
E.S.L.005C,,College ESL V: Listening and Speaking,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Transfer Status",2025 Summer,
E.S.L.006A,,College ESL VI: Writing And Grammar,,,X,,6.0,,Transferable to CSU only,Approved,Transcript Abbreviation,2024 Fall,
E.S.L.006A,,College ESL VI: Writing And Grammar,,,X,,6.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Summer,
E.S.L.006B,,College ESL VI: Reading And Vocabulary,,,X,,3.0,,Transferable to CSU only,Approved,Transcript Abbreviation,2024 Fall,
E.S.L.006B,,College ESL VI: Reading And Vocabulary,,,X,,3.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Summer,
E.S.L.006C,,College ESL VI: Listening and Speaking,,,X,,3.0,,Transferable to CSU only,Pending,"Transcript Abbreviation, CSLOs",2025 Winter,
E.S.L.006C,,College ESL VI: Listening and Speaking,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
E.S.L.007B,,Advanced ESL: Reading And Vocabulary,,,X,,3.0,,Transferable to CSU only,Approved,Course Objectives,2025 Summer,
E.S.L.008,,Advanced ESL Composition,,,X,,6.0,,Transferable to both UC and CSU,Approved,College Catalog Course Description,2024 Fall,
E.S.L.110,,College Composition for Non-Native Speakers,,,X,,4.0,,Transferable to both UC and CSU,Approved,"CSLOs, Course Objectives",2025 Fall,
EARTH001,,Earth Science,,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Objectives,2026 Winter,
EARTH002,,Earth Science Laboratory,,,X,,1.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Summer,
ECON001,,Principles of Microeconomics,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ECON002,,Principles of Macroeconomics,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
EDUC001,,Introduction To Teaching,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs",2024 Fall,
EDUC203,,Education In American Society,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
EGD TEK101,,Engineering Graphics,Engineering Graphics with CAD,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transcript Abbreviation, Course Title, College Catalog Course Description, Transfer Status, Course Objectives",2025 Fall,
EGD TEK111,,2-D Computer-Aided Drafting,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Course Transfer Status",2025 Spring,
EGD TEK121,,3-D Computer-Aided Design With Solidworks,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Spring,
EGD TEK121,,3-D Computer-Aided Design With Solidworks,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transfer Status, Indicate DE Approval in Affiliated Programs",2026 Winter,
EGD TEK121,,3-D Computer-Aided Design With Solidworks,3-D Computer-Aided Design with SolidWorks,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Title,2026 Fall,
EGD TEK131,,CAD-Advanced Applications 3-D,,,X,,2.0,,Transferable to both UC and CSU,Approved,Transfer Status,2026 Winter,
ENG GEN101,,"Introduction To Science, Engineering And Technology",,,X,,2.0,,Transferable to both UC and CSU,,,2025 Fall,
ENG GEN120,,Introduction to Programming Concepts and Methodologies for Scientists and Engineers,,,X,,4.0,,Transferable to both UC and CSU,,"Indicate DE Approval in Affiliated Programs, Course Transfer Status, Deactivate Course",2024 Fall,
ENG GEN122,,Programming And Problem-Solving In Matlab,,,X,,3.0,,Transferable to both UC and CSU,,,2025 Spring,
ENG SUP121,,Plane Surveying I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ENG SUP200,,Business Practices for Land Surveyors & Civil Engineers,,,X,,1.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2026 Spring,
ENGLISH101,ENGLC1000,College Reading And Composition I,Academic Reading and Writing,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Identifier (Subject Abbreviation, Number and Suffix), Course Number, Transcript Abbreviation, Course Title, College Catalog Course Description, Course Objectives",2025 Fall,
ENGLISH103,ENGLC1001,Composition And Critical Thinking,Critical Thinking and Writing,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Identifier (Subject Abbreviation, Number and Suffix), Course Number, Transcript Abbreviation, Course Title, College Catalog Course Description, Course Objectives",2025 Fall,
ENGLISH021,,English Fundamentals,,,X,,3.0,,,,"College Catalog Course Description, Indicate DE Approval in Affiliated Programs",2025 Summer,
ENGLISH032,,College Literary Magazine Editing,,,X,,2.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2025 Spring,
ENGLISH101X,,College Reading and Composition I Plus 1-Hour Lab,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Transfer Status, CSLOs, Course Objectives, Course Transfer Status",2024 Fall,
ENGLISH101X,,College Reading and Composition I Plus 1-Hour Lab,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2025 Winter,
ENGLISH101X,,College Reading and Composition I Plus 1-Hour Lab,,,X,,3.0,,Transferable to both UC and CSU,Approved,College Catalog Course Description,2025 Fall,
ENGLISH101Y,,College Reading and Composition I Plus 2-Hour Lab,,,X,,3.5,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Transfer Status, CSLOs, Course Objectives, Course Transfer Status",2024 Fall,
ENGLISH101Y,,College Reading and Composition I Plus 2-Hour Lab,,,X,,3.5,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2025 Winter,
ENGLISH101Y,,College Reading and Composition I Plus 2-Hour Lab,,,X,,3.5,,Transferable to both UC and CSU,Approved,College Catalog Course Description,2025 Fall,
ENGLISH101Z,,College Reading and Composition I Plus 3-Hour Lab,,,X,,4.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ENGLISH101Z,,College Reading and Composition I Plus 3-Hour Lab,,,X,,4.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2025 Winter,
ENGLISH101Z,,College Reading and Composition I Plus 3-Hour Lab,,,X,,4.0,,Transferable to both UC and CSU,Approved,College Catalog Course Description,2025 Fall,
ENGLISH107,,Critical Thinking and Writing through Literature,,X,,,4.0,,Transferable to both UC and CSU,Pending,,2026 Spring,
ENGLISH109,,Writing for Social Media,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
ENGLISH124,,Short Story Writing I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2024 Fall,
ENGLISH127,,Creative Writing,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives",2024 Fall,
ENGLISH204,,World Literature II,,,X,," - ",3.0,Transferable to both UC and CSU,Pending,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ENGLISH204,,World Literature II,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Transfer Status",2025 Winter,
ENGLISH205,,English Literature I,British Literature I,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transcript Abbreviation, Course Title, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ENGLISH206,,English Literature II,British Literature II,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transcript Abbreviation, Course Title, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Transfer Status",2024 Fall,
ENGLISH208,,American Literature II,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, CSLOs, Course Objectives, Course Transfer Status",2024 Fall,
ENGLISH223,,Creative Nonfiction,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Course Control Number",2024 Fall,
ENGLISH239,,Women In Literature,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, CSLOs, Course Control Number, Course Transfer Status",2024 Fall,
ENGLISH241,,Literature And The Motion Picture II,,X,,,3.0,,Transferable to both UC and CSU,Approved,,2024 Fall,
ENGLISH420,,"Research, Design And Methodology",,,X,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
ENGLISH420,,"Research, Design And Methodology",,,X,,3.0,,Transferable to CSU only,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories",2026 Spring,
ENV SCI002,,The Human Environment: Biological Processes,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Winter,
ESL NC040CE,,Conversation - Foundational,,X,,,0.0,,,,,2025 Fall,
ESL NC050CE,,Beginning Conversation,,,X,,0.0,,,,,2024 Fall,
ESL NC050CE,,Beginning Conversation,,,X,,0.0,,,,Transcript Abbreviation,2025 Spring,
ESL NC132CE,,College ESL III: Reading and Vocabulary,,,X,,0.0,,,,College Catalog Course Description,2024 Fall,
ESL NC133CE,,College ESL III: Listening and Speaking,,,X,,0.0,,,,College Catalog Course Description,2024 Fall,
ESL NC142CE,,College ESL IV: Reading and Vocabulary,,,X,,0.0,,,,"Transcript Abbreviation, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ESL NC143CE,,College ESL IV: Listening and Speaking,,,X,,0.0,,,,"Transcript Abbreviation, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ESL NC151CE,,College ESL V: Writing and Grammar,,,X,,0.0,,,,"College Catalog Course Description, Course Objectives",2024 Fall,
ESL NC152CE,,College ESL V: Reading and Vocabulary,,,X,,0.0,,,,"Transcript Abbreviation, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ESL NC153CE,,College ESL V: Listening and Speaking,,,X,,0.0,,,,"Transcript Abbreviation, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ESL NC161CE,,College ESL VI: Writing and Grammar,,,X,,0.0,,,,College Catalog Course Description,2024 Fall,
ESL NC162CE,,College ESL VI: Reading and Vocabulary,,,X,,0.0,,,,"Transcript Abbreviation, College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories",2024 Fall,
ESL NC163CE,,College ESL VI: Listening and Speaking,,,X,,0.0,,,,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives",2024 Fall,
ESL NC172CE,,Advanced ESL: Reading and Vocabulary,,X,,,0.0,,,,,2025 Summer,
ESLCVCS014CE,,ESl And Civics V,ESL and Civics V,,X,,0.0,,,,"Transcript Abbreviation, Course Title",2025 Fall,
FAM &CS006,,Challenges Of Aging,,,X,,3.0,,Transferable to CSU only,Approved,,2026 Spring,
FAM &CS031,,Marriage And Family Life,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2026 Spring,
FAM &CS070,,Field Experience In Family And Consumer Studies,,,X,,3.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Fall,
FINANCE001,,Principles Of Finance,,,X,,3.0,,Transferable to both UC and CSU,,Standard Accountability Measure (SAM) Code,2024 Fall,
FINANCE001,,Principles Of Finance,,,X,,3.0,,Transferable to both UC and CSU,Pending,"CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
FINANCE008,,Personal Finance And Investments,,,X,,3.0,,Transferable to both UC and CSU,Pending,"CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
FIRETEK201,,Fire Protection Organization,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Fall,
FIRETEK202,,Fire Prevention,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Fall,
FIRETEK203,,Fire Protection Equipment And Systems,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Fall,
FIRETEK204,,Building Construction For Fire Protection,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Fall,
FIRETEK205,,Fire Behavior And Combustion,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Fall,
FIRETEK216,,Fundamentals Of Personal Fire Safety & Emergency Action,,,X,,3.0,,Transferable to CSU only,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Fall,
FRENCH002,,Elementary French II,,,X,,5.0,,Transferable to both UC and CSU,,Course Family (Courses Related in Content),2024 Fall,
GAD101,,Introduction to Game Design,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
GAD102,,Concept Design and Visual Development,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
GAD103,,Game Technologies and Game Engines,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
GAD210-1,,Production Studio I,,X,,,2.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
GEOG003,,Introduction To Weather And Climate,,,X,," - ",3.0,Transferable to both UC and CSU,Pending,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Course Control Number, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Fall,
GEOG007,,World Regional Geography,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Winter,
GEOG014,,Geography Of California,,,X,," - ",3.0,Transferable to both UC and CSU,Pending,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Course Control Number, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Fall,
HEALTH002,,Health And Fitness,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2026 Fall,
HEALTH005,,Health Equity,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
HEALTH008,,Women's Personal Health,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs",2024 Fall,
HEALTH008,,Women's Personal Health,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2026 Spring,
HEALTH011,,Principles Of Healthful Living,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Indicate DE Approval in Affiliated Programs",2024 Fall,
HEALTH011,,Principles Of Healthful Living,Principles of Healthful Living,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Title,2025 Fall,
HEALTH101,,Introduction to Public Health,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Course Transfer Status",2024 Fall,
HEALTH113,,"Social Determinants of Health, Disparities and Equities",,X,,,3.0,,Transferable to both UC and CSU,Approved,,2024 Fall,
HISTORY086,,Introduction To World Civilization I,Introduction to World Civilization I,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Title,2025 Fall,
HLTHOCC062,,Skill Set For The Health Care Professional,,,X,,2.0,,Transferable to CSU only,Approved,,2025 Fall,
HLTHOCC063,,"Basic Medical Terminology, Pathophysiology And Pharmacology",,,X,,2.0,,Transferable to CSU only,Approved,,2025 Fall,
HLTHOCC064,,Cultural And Legal Topics For Health Care Professionals,,,X,,1.0,,Transferable to CSU only,Approved,,2025 Fall,
HLTHOCC065,,Fundamentals For The Health Care Professional,,,X,,2.5,,Transferable to CSU only,Approved,,2025 Fall,
HOSPT100,,Introduction To The Hospitality Industry,,X,,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
HOSPT120,,Hospitality Cost Control,,X,,,3.0,,Transferable to CSU only,Approved,,2026 Spring,
HOSPT140,,Introduction to Hotel Management,,X,,,3.0,,Transferable to CSU only,Approved,,2026 Spring,
HOSPT320,,Hospitality Law,,X,,,3.0,,Transferable to CSU only,Approved,,2026 Spring,
HTHTEK100,,Introduction To Health Information Technology,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Summer,
HTHTEK103,,Introduction To Basic Coding,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Summer,
HTHTEK110,,Ambulatory Care Coding,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Summer,
HTHTEK110,,Ambulatory Care Coding,,,X,,3.0,,Transferable to CSU only,Approved,Standard Accountability Measure (SAM) Code,2025 Fall,
HTHTEK230,,Electronic Health Records In The Health Care System,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Summer,
HUMAN001,,Cultural Patterns Of Western Civilization,Cultural Patterns of Western Civilization,,X,,3.0,,Transferable to both UC and CSU,,Course Title,2025 Fall,
HUMAN003,,The Arts of Contemporary Society,,,X,,3.0,,Transferable to CSU only,,Course Transfer Status,2025 Fall,
INTRDGN101,,Interior Design Laboratory,,,X,,1.0,,Transferable to CSU only,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN102,,Introduction To Interior Design,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN103,,History of Architecture and Interiors I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transfer Status, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN104,,History of Architecture and Interiors II,,,X,,3.0,,Transferable to CSU only,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN106,,Digital Drafting for Interior Design,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN107,,Color Theory and Design,,,X,,3.0,,Transferable to CSU only,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN108,,Residential Space Planning,,,X,,4.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN109,,Commercial Space Planning,,,X,,4.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN110,,Lighting Design,,,X,,3.0,,Transferable to CSU only,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN111,,Sustainable Design Fundamentals,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN112,,Sustainable Design Standards & Certifications I,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN113,,Sustainable Design Standards & Certifications II,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN114,,"Interior Design Materials, Standards And Specifications",,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN115,,Building Codes for Interiors,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN116,,Building Information Modeling for Interior Design I,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
INTRDGN117,,Building Information Modeling for Interior Design II,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
JOURNAL043,,Public Relations Techniques,,X,,,3.0,,Transferable to CSU only,Approved,,2025 Spring,
JOURNAL100,,Social Values In Mass Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Objectives,2025 Spring,
JOURNAL101,,Collecting And Writing News,,,X,," - ",3.0,Transferable to CSU only,Pending,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
JOURNAL101,,Collecting And Writing News,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Transfer Status, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Spring,
JOURNAL202,,Advanced Newswriting,,X,,,3.0,,Transferable to CSU only,Approved,,2025 Spring,
KIN ATH503,,Intercollegiate Athletics-Baseball,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
